"obj","site1","site2","site3"
0.359019859922958,4,9,23
0.359004441352245,2,10,29
0.358973250112953,8,10,23
0.358950548724973,5,7,24
0.358864151144854,3,10,15
0.358864151144854,6,10,15
0.358864151144854,7,10,15
0.358708712908271,1,8,22
0.35870476068748,12,23,24
0.358700879563243,8,22,24
0.358687341213226,7,19,24
0.358662709792834,10,13,21
0.358654228956944,5,10,13
0.358654228956944,10,12,13
0.358563188258763,9,22,31
0.358534307054737,8,10,15
0.358534307054737,10,11,15
0.358469471847535,3,10,22
0.358469471847535,6,10,22
0.358448048663694,2,5,24
0.358430714807778,1,10,24
0.358401144283467,3,13,24
0.358397825261611,9,22,29
0.358338788003716,5,6,22
0.358278415362454,4,9,30
0.358219475226295,3,13,22
0.358190024024123,1,7,24
0.358094296918691,3,4,21
0.357918288617322,8,24,31
0.357804031370783,10,12,21
0.357726522323366,11,22,24
0.357717165768673,1,11,22
0.357705031407245,9,22,26
0.357680460960517,9,19,29
0.357646293689807,9,10,26
0.357615775805204,3,13,19
0.357615775805204,6,13,19
0.357615775805204,7,13,19
0.357512511312962,2,8,22
0.357512511312962,5,8,22
0.357512511312962,8,19,22
0.357512511312962,8,22,23
0.357512511312962,8,22,27
0.357512511312962,8,22,30
0.35737260638942,4,9,11
0.357289620098614,6,13,21
0.35726694921098,10,13,19
0.357239976102213,1,9,23
0.357208975664405,1,2,24
0.357197785259862,2,9,23
0.357197785259862,3,9,23
0.357197785259862,3,11,23
0.357197785259862,3,12,23
0.357197785259862,6,9,23
0.357197785259862,6,11,23
0.357197785259862,6,12,23
0.357197785259862,7,9,23
0.357197785259862,7,11,23
0.357197785259862,7,12,23
0.357197785259862,8,9,23
0.357049416536383,3,5,22
0.357016888206247,9,24,26
0.356987153164158,1,9,30
0.356982752006373,9,19,21
0.356982752006373,9,21,23
0.356944128039614,7,9,30
0.356942753891571,7,12,30
0.35692847478334,6,7,24
0.356905725051582,1,7,11
0.356904862314328,11,24,31
0.356856128913376,2,4,23
0.356856128913376,4,8,23
0.356848399170109,2,10,24
0.356835738384634,8,13,22
0.356826605216526,8,13,24
0.356786386994515,10,12,23
0.356766205378483,10,12,31
0.356669603249966,2,7,24
0.356652443063851,7,23,24
0.356652412162377,8,22,31
0.356621478091587,3,10,14
0.356621478091587,6,10,14
0.356621478091587,7,10,14
0.356576295799346,3,8,29
0.356576295799346,6,8,29
0.356576295799346,7,8,29
0.356517962872089,2,4,21
0.356517962872089,4,8,21
0.356516124021295,5,11,22
0.356516124021295,11,12,22
0.356516124021295,11,22,27
0.356516124021295,11,22,30
0.356491239463682,8,22,29
0.356394848575195,5,10,22
0.356365203848594,9,13,19
0.356264646757733,8,10,14
0.356264646757733,10,11,14
0.356263465478711,7,13,24
0.35625227832974,2,9,21
0.35625227832974,6,9,21
0.35625227832974,6,11,21
0.35625227832974,6,12,21
0.35625227832974,8,9,21
0.356175411947583,3,13,21
0.356089982891751,3,19,24
0.356089982891751,6,19,24
0.356057299732488,7,13,22
0.356020986390984,1,6,22
0.355866833614206,2,13,24
0.355863331625915,2,13,22
0.355807818825308,10,11,28
0.355798445609317,8,22,26
0.35576027492666,2,8,29
0.355730675936987,5,9,23
0.355730675936987,9,11,23
0.355730675936987,9,12,23
